mu_true,sigma_true,target,backend,n,coverage,coverage_se,z_vs_nominal,mean_width,median_width,bias,rmse,frac_no_overlap,frac_all_equal,mean_ess
26.0,3.0,q0.99,ref,150,0.9666666666666667,0.014656562175858798,1.1371470653683586,,,-0.10111748589169767,2.1923987347025413,0.0,0.0,6854.00951819806
26.0,6.0,mu,particle,150,0.9533333333333334,0.017221863795553384,0.19355241528469547,6.281969191095231,6.4352294277151,0.17418841430745996,1.4949289918519737,0.0,0.0,7403.568615851877
26.0,6.0,mu,ref,150,0.9533333333333334,0.017221863795553384,0.19355241528469547,,,0.17418841430745996,1.4949289918519737,0.0,0.0,7403.568615851877
26.0,6.0,sigma,particle,150,0.96,0.016000000000000007,0.6250000000000002,7.931600200049258,7.518795978833289,-0.5589698812902981,1.6550031175409448,0.0,0.0,7403.568615851877
26.0,6.0,sigma,ref,150,0.96,0.016000000000000007,0.6250000000000002,,,-0.5589698812902981,1.6550031175409448,0.0,0.0,7403.568615851877
26.0,6.0,q0.5,particle,150,0.9533333333333334,0.017221863795553384,0.19355241528469547,6.281969191095231,6.4352294277151,0.17418841430745996,1.4949289918519737,0.0,0.0,7403.568615851877
26.0,6.0,q0.5,ref,150,0.9533333333333334,0.017221863795553384,0.19355241528469547,,,0.17418841430745996,1.4949289918519737,0.0,0.0,7403.568615851877
26.0,6.0,q0.95,particle,150,0.96,0.016000000000000007,0.6250000000000002,14.53073750061592,13.84415678243037,-0.7356149915215107,2.8925256056904085,0.0,0.0,7403.568615851877
26.0,6.0,q0.95,ref,150,0.9533333333333334,0.017221863795553384,0.19355241528469547,,,-0.7356149915215107,2.8925256056904085,0.0,0.0,7403.568615851877
26.0,6.0,q0.99,particle,150,0.9733333333333334,0.013154354299509981,1.7738106182986595,19.526514712826746,18.49923482580003,-1.1197407943871944,3.90440608447055,0.0,0.0,7403.568615851877
26.0,6.0,q0.99,ref,150,0.9666666666666667,0.014656562175858798,1.1371470653683586,,,-1.1197407943871944,3.90440608447055,0.0,0.0,7403.568615851877
30.0,1.5,mu,particle,150,0.9666666666666667,0.014656562175858798,1.1371470653683586,2.0992019143503695,2.089868962650753,-0.020176853021909788,0.4337177150121141,0.006666666666666667,0.0,6453.682646958865
30.0,1.5,mu,ref,150,0.9666666666666667,0.014656562175858798,1.1371470653683586,,,-0.020176853021909788,0.4337177150121141,0.006666666666666667,0.0,6453.682646958865
30.0,1.5,sigma,particle,150,0.98,0.01143095213298817,2.6244532958391202,2.4111636318584266,2.288193157760171,0.07042206860614536,0.44829276431880144,0.006666666666666667,0.0,6453.682646958865
30.0,1.5,sigma,ref,150,0.9733333333333334,0.013154354299509981,1.7738106182986595,,,0.07042206860614536,0.44829276431880144,0.006666666666666667,0.0,6453.682646958865
