setting,policy,n,target,estimator,mse,mse_se,bias,rmse,n_used,n_total,coverage,coverage_se,mean_width
probit_ind_poor,entropy_mu,20,sigma,mle,2.0150816723090825,0.1632628583421883,-0.7979571673026569,1.419535724210237,250,250,,,
probit_ind_poor,entropy_mu,20,q0.5,mle,1.0775968292954143,0.13881800396055788,-0.1703605590532918,1.038073614583963,250,250,,,
probit_ind_poor,entropy_mu,20,q0.95,mle,7.763900842568031,0.8803788561866505,-1.4828832998429928,2.7863777279055384,250,250,,,
probit_ind_poor,entropy_mu,20,q0.99,mle,13.72885995170857,1.4341544253680838,-2.0266865187834817,3.705247623534569,250,250,,,
probit_ind_poor,entropy_mu,20,q0.01,bayes,,,,,0,250,,,
probit_ind_poor,entropy_mu,20,q0.05,bayes,,,,,0,250,,,
probit_ind_poor,entropy_mu,20,q0.01,mle,,,,,0,250,,,
probit_ind_poor,entropy_mu,20,q0.05,mle,,,,,0,250,,,
probit_ind_poor,entropy_mu,30,mu,bayes,0.6528436624056979,0.06505801951178035,-0.20298199466032185,0.8079874147569985,250,250,0.932,0.01592180894245374,3.3614689925837893
probit_ind_poor,entropy_mu,30,sigma,bayes,0.9550465759277998,0.08661485844201261,-0.3113175495726423,0.9772648443118169,250,250,0.952,0.013519763311537675,5.746304257315915
probit_ind_poor,entropy_mu,30,q0.5,bayes,0.6528436624056979,0.06505801951178035,-0.20298199466032185,0.8079874147569985,250,250,0.932,0.01592180894245374,3.3614689925837893
probit_ind_poor,entropy_mu,30,q0.95,bayes,3.497140038639124,0.30475775754854634,-0.7103295322417296,1.8700641803529428,250,250,0.94,0.015019986684414876,10.396928100355991
probit_ind_poor,entropy_mu,30,q0.99,bayes,6.190227245191874,0.5407264650132073,-0.9216634737830343,2.4880167292829594,250,250,0.948,0.014042222046385685,14.211351672615528
probit_ind_poor,entropy_mu,30,mu,mle,0.6699442536913648,0.06805606906000582,-0.13184770708774476,0.8185012240011402,250,250,,,
probit_ind_poor,entropy_mu,30,sigma,mle,1.3462444937238607,0.11141220521857602,-0.5975858414269994,1.160277765762949,250,250,,,
probit_ind_poor,entropy_mu,30,q0.5,mle,0.6699442536913648,0.06805606906000582,-0.13184770708774476,0.8185012240011402,250,250,,,
probit_ind_poor,entropy_mu,30,q0.95,mle,4.934555036150355,0.4060717049504213,-1.1147889457737956,2.22138583684833,250,250,,,
probit_ind_poor,entropy_mu,30,q0.99,mle,8.835790849899466,0.7202614015792386,-1.5220402588483544,2.9725058199942125,250,250,,,
probit_ind_poor,entropy_mu,30,q0.01,bayes,,,,,0,250,,,
probit_ind_poor,entropy_mu,30,q0.05,bayes,,,,,0,250,,,
probit_ind_poor,entropy_mu,30,q0.01,mle,,,,,0,250,,,
probit_ind_poor,entropy_mu,30,q0.05,mle,,,,,0,250,,,
probit_ind_poor,entropy_sigma,20,mu,bayes,50.126192295539646,1.6315181981405273,-6.020346372844093,7.079985331590712,250,250,0.992,0.005634181395730885,16.78701997612655
probit_ind_poor,entropy_sigma,20,sigma,bayes,2.1223384002944576,0.07824404196658283,-0.8356378825753544,1.456824766502292,250,250,0.992,0.005634181395730885,5.948611222948352
probit_ind_poor,entropy_sigma,20,q0.5,bayes,50.126192295539646,1.6315181981405273,-6.020346372844093,7.079985331590712,250,250,0.992,0.005634181395730885,16.78701997612655
probit_ind_poor,entropy_sigma,20,q0.95,bayes,73.59425574255441,2.252857034472216,-6.817328652342288,8.57870944504792,250,250,0.976,0.009679669415842676,19.349898436879187
probit_ind_poor,entropy_sigma,20,q0.99,bayes,87.6243010049852,2.558435433540688,-7.2744821653431515,9.360785277154113,250,250,0.992,0.005634181395730885,21.866422479272515
