mu_true,sigma_true,replicate,arm,n_particles,rejuvenate,kl_threshold,overlap,ess,max_weight,n_resamples,n_invalid,q0.5_p_covered,q0.5_r_covered,q0.5_cov_diff,q0.5_rank_diff,q0.5_shift_in_ref_sd,q0.5_sd_ratio,q0.95_p_covered,q0.95_r_covered,q0.95_cov_diff,q0.95_rank_diff,q0.95_shift_in_ref_sd,q0.95_sd_ratio,q0.99_p_covered,q0.99_r_covered,q0.99_cov_diff,q0.99_rank_diff,q0.99_shift_in_ref_sd,q0.99_sd_ratio
38.0,0.3,3,N=40k rejuv,40000,True,0.1,True,10807.37316822304,0.004998689356431951,6,30295,True,True,0,-0.004934548233752611,0.006900726336565525,1.0022767681784217,True,True,0,-0.012453422177472459,0.012070432055730098,0.9939338805431701,True,True,0,-0.008989553199609882,0.011547048616321965,0.9951168233422658
38.0,0.3,3,N=160k rejuv,160000,True,0.1,True,103737.94727747931,0.000534339775586914,6,129279,True,True,0,-6.11764309488283e-05,-0.00036474681634935324,1.002077953873867,True,True,0,-0.004230658931807255,0.0060996525594987595,0.9987612038907289,True,True,0,-0.005153666312862418,0.006374598248973403,0.9988607234007794
38.0,0.3,3,N=10k no-rejuv,10000,False,inf,True,19.82004293711334,0.11832616495737268,0,0,True,True,0,-0.01109509638304429,-0.15053198950679827,1.136026419259054,True,True,0,0.03141383734262665,0.09125008952668251,1.0434727618297994,True,True,0,0.05114119624249523,0.11567977753027273,1.0310806576469274
38.0,0.3,3,N=10k rejuv KL=0.02,10000,True,0.02,True,8193.272165785762,0.0012439515768389792,18,16702,True,True,0,0.005180559746604807,-0.0077140308986353694,0.9914663713325017,True,True,0,-0.005695574873103015,-0.002522848204835205,0.9907526505323395,True,True,0,-0.003068172999735483,-0.0015351584306101062,0.9892847969273176
38.0,0.3,5,N=10k rejuv,10000,True,0.1,True,2869.2975429737844,0.009028353583335287,7,10954,True,True,0,0.012202576644809837,-0.023662624928641986,1.0118049885087823,True,True,0,-0.0216863445867318,0.055672920413505085,0.9927641672496551,True,True,0,-0.025260350761128494,0.062205713784379515,0.9855679628481631
38.0,0.3,5,N=40k rejuv,40000,True,0.1,True,6335.645424229355,0.005064355142761358,7,43138,True,True,0,0.010293216701446672,-0.029518845598622154,1.0088499546424634,True,True,0,-0.02284387241935598,0.04735666608731582,1.0007728983440047,True,True,0,-0.026934358957411794,0.05418829988520148,0.9969456452719806
38.0,0.3,5,N=160k rejuv,160000,True,0.1,True,1834.6205817220123,0.019582735407582062,7,182996,True,True,0,0.01710004547181665,-0.012628866130797412,0.9934302826353418,True,True,0,0.007526258694957377,-0.015376425007601658,1.0039739603736122,True,True,0,0.008403853452598808,-0.014579425761038326,1.004325576882821
38.0,0.3,5,N=10k no-rejuv,10000,False,inf,True,26.404118935210303,0.10494774552071942,0,0,True,True,0,-0.09709484634249232,0.20737579580353552,1.0385105398275822,True,True,0,-0.11754333882768973,0.27238398934166363,1.0384643227657657,True,True,0,-0.08707217686059761,0.2604831519229609,1.0428136302782642
38.0,0.3,5,N=10k rejuv KL=0.02,10000,True,0.02,True,29.231464762770592,0.16937855455425954,13,16340,True,True,0,-0.09463242261560145,0.009148513478925967,0.9629143885385559,True,True,0,0.02147547804019606,-0.18458758698774197,0.983383009805777,True,True,0,0.02842062469154344,-0.19684005644974242,0.986561854807849
38.0,0.3,6,N=10k rejuv,10000,True,0.1,True,1.1745250044610678,0.922308183606832,4,8863,False,True,-1,-0.38826638880790243,0.09098479677178437,0.23930626361425714,False,True,-1,-0.10754068303082656,-0.43409238632847763,0.30437100378997756,False,True,-1,-0.09215348479768254,-0.46282595104810775,0.31203992353086196
38.0,0.3,6,N=40k rejuv,40000,True,0.1,True,3981.597556559014,0.007443644247937467,6,30263,True,True,0,-0.02289071935669662,0.04170031156080285,1.0047976708555078,True,True,0,-0.048865316543622486,0.07084442042115136,0.9704880535751707,True,True,0,-0.0556474444221122,0.06819406869920723,0.9742743792972949
38.0,0.3,6,N=160k rejuv,160000,True,0.1,True,23629.026307747805,0.0019352559789522503,6,135524,True,True,0,-0.014673172786891953,0.02656646701422321,1.0107256895364658,True,True,0,-0.03541211472256278,0.05784841598301476,0.9793059252229449,True,True,0,-0.036874392515847475,0.056655650751606036,0.9803585603335787
38.0,0.3,6,N=10k no-rejuv,10000,False,inf,True,30.336171347100734,0.08395010895656747,0,0,True,True,0,0.23742210566322264,-0.40835688567265055,1.0825719020710938,True,True,0,0.10134642551774478,-0.20834929041197697,1.0767878515642628,True,True,0,0.028684701046624322,-0.16347035951299738,1.0457463939515013
38.0,0.3,6,N=10k rejuv KL=0.02,10000,True,0.02,True,1767.0838345393463,0.013023441070085722,18,16391,True,True,0,-0.011706276029095353,0.01599133730674325,0.9926972707194963,True,True,0,-0.013802189874723023,0.02423830729138249,0.9953326332989592,True,True,0,-0.01562415836447563,0.023107737385256732,0.9967182120512246
38.0,0.3,7,N=10k rejuv,10000,True,0.1,False,44.666130437651674,0.09162452326285161,6,11145,True,True,0,-0.06639871365832029,-0.05534509211832147,1.3084994024624843,True,True,0,-0.43969697633663335,0.9535861915073073,1.180290651603958,False,True,-1,-0.4937724856903578,0.9990921908279051,1.161929821739961
38.0,0.3,7,N=40k rejuv,40000,True,0.1,False,55.85781313989677,0.1033469760075551,6,43603,True,True,0,0.006247889440886278,-0.21475625996996134,1.2118954030733136,True,True,0,-0.2239398451704242,0.5021205174525019,1.139845033789764,True,True,0,-0.2640841014372919,0.5492336635426218,1.1099532076426788
38.0,0.3,7,N=160k rejuv,160000,True,0.1,False,70.65737872497894,0.06873910755702912,6,166716,True,True,0,-0.021306053011206694,-0.15317721486648123,1.1143736397492752,True,True,0,-0.2245591542362212,0.40656954991552524,1.062503864553708,True,True,0,-0.26108532783004146,0.4421339055264798,1.0433289953985971
38.0,0.3,7,N=10k no-rejuv,10000,False,inf,False,2.664505189210421,0.6056551672993696,0,0,True,True,0,0.076852700172369,0.002824719058507052,0.8949999153167105,True,True,0,0.17561400141432826,-0.3782234711143022,1.0747953045155105,True,True,0,0.20080804675841452,-0.39388694428487214,1.0939302872752297
38.0,0.3,7,N=10k rejuv KL=0.02,10000,True,0.02,False,5532.896271507101,0.005330563291286327,22,25135,True,True,0,0.008004863754445868,0.009022732404022706,1.0069825598620112,True,True,0,0.00023016463523961583,0.007799364219078433,0.9899648689322575,True,True,0,-0.0006934890664203053,0.006989695701904955,0.9865147069960222
38.0,0.3,8,N=10k rejuv,10000,True,0.1,True,6268.908293259159,0.0024439509700174317,7,8589,True,True,0,0.002519419449181548,-0.002650325348860356,0.9899918024419787,True,True,0,-0.02227143495672912,0.04771926921619642,0.9973859610106586,True,True,0,-0.02468190961605546,0.050555588938605844,0.9989987031672992
38.0,0.3,8,N=40k rejuv,40000,True,0.1,True,698.8785082814805,0.03653974306770453,8,44933,True,True,0,0.005592636807510987,-0.022483076707396563,1.0123852489112666,True,True,0,0.004433128935463965,-0.013761453411122325,1.0119003853683664,True,True,0,0.0034804691522993536,-0.011536899701431723,1.0090185408141266
38.0,0.3,8,N=160k rejuv,160000,True,0.1,True,65635.51205980658,0.001057431683107839,7,173978,True,True,0,0.0014219876048571223,0.005289246370391005,1.0018794573372236,True,True,0,-0.008171392604905098,0.013666455834472012,0.9925513946625825,True,True,0,-0.008400887778583749,0.013687188724059416,0.9925256620066277
38.0,0.3,8,N=10k no-rejuv,10000,False,inf,True,20.337128009083482,0.09530155985407773,0,0,True,True,0,-0.009909841949252263,-0.17450273690072204,1.054919432501631,True,True,0,0.06881267486405021,-0.17577259167276454,1.0364107660504975,True,True,0,0.11541303339727257,-0.16210439660754733,1.0215433207005629
38.0,0.3,8,N=10k rejuv KL=0.02,10000,True,0.02,True,3947.7742017561113,0.008058532394326376,19,19743,True,True,0,0.005157512049333013,-0.0025419444549695954,0.9979405195985044,True,True,0,-0.002811249964663781,0.004533741958230486,0.992166667193227,True,True,0,-0.005751590525232747,0.005102938942875116,0.9902422110749646
38.0,0.3,9,N=10k rejuv,10000,True,0.1,True,64.4271243327111,0.11348548783683235,5,6641,True,True,0,0.03706611041162833,-0.05842322337006928,1.0462786656569931,True,True,0,-0.0729087697924703,0.13799323835738275,1.2245015984893821,True,True,0,-0.08087898988089959,0.1548574006532068,1.230293465074013
38.0,0.3,9,N=40k rejuv,40000,True,0.1,True,242.9692178971236,0.049154854769537154,5,32275,True,True,0,-0.022731898637215142,0.05580599463590827,1.110952819964319,True,True,0,-0.1289798640511703,0.17954912669455056,1.0345910289773645,True,True,0,-0.13894911068757212,0.18646052718471398,1.0255814427368706
38.0,0.3,9,N=160k rejuv,160000,True,0.1,True,242.74801746935654,0.05386168289297179,5,121135,True,True,0,0.001269236340295743,0.01316070961478278,1.1166084995130912,True,True,0,-0.1762459880118043,0.2814201913755762,1.0827942098795083,True,True,0,-0.19012482685737428,0.3007260009920842,1.0720856054065884
38.0,0.3,9,N=10k no-rejuv,10000,False,inf,True,6.758759939889002,0.2564468689981099,0,0,True,True,0,-0.02909143960789151,-0.016985406514006294,0.935405242121479,True,True,0,0.30408555315626773,-0.1488668855340572,1.0067376670468962,True,True,0,0.2670812549456502,-0.15793640243831983,1.0131123864813645
38.0,0.3,9,N=10k rejuv KL=0.02,10000,True,0.02,True,2455.3701977162077,0.0058210803199483675,19,20125,True,True,0,0.04185994912216262,-0.033529023235695884,1.0431401187058498,True,True,0,-0.030325819352528705,0.06125041348629632,1.0198283720045742,True,True,0,-0.04025538305809634,0.06960208680128868,1.0135122643631673
38.0,0.3,10,N=10k rejuv,10000,True,0.1,True,253.78290028236836,0.045347019517673205,5,7159,True,True,0,-0.0790202638480692,0.15841541603132442,1.023290373509643,True,True,0,-0.21098659554516405,0.3851976483676362,0.8682125956571505,True,True,0,-0.19224725823925715,0.39236721934919067,0.8685939405401668
38.0,0.3,10,N=40k rejuv,40000,True,0.1,True,257.07513206476295,0.05591303579825339,5,31484,True,True,0,-0.08079122159697344,0.1243023448262573,0.9963112642486492,True,True,0,-0.1098729170617459,0.1513845373117671,0.9129761523526396,True,True,0,-0.1131440177489995,0.14463272074106914,0.9176068503315055
38.0,0.3,10,N=160k rejuv,160000,True,0.1,True,514.7925407131,0.037837006393667785,5,126619,True,True,0,-0.043134987057299456,0.08287050569777915,1.0325969920358655,True,True,0,-0.11448296154587129,0.22690030311613998,0.9281040096839518,True,True,0,-0.1313239790186625,0.2327343680324078,0.9259419673925818
